,Class,Left-Out Correlation,Precision,Recall,F1 Score
0,0,0.0,0.0115388935330335,0.09750812567713973,0.059806741627035365
1,0,0.0,0.05826553021469272,0.02004333694474536,0.037270750486392945
2,0,0.0,0.006255245034702095,0.048212351029252476,0.02862413394503971
3,0,0.0,-0.005963718797164952,-0.008125677139761645,-0.008036861609540091
4,0,0.0,-0.017579880413326587,-0.03082832660297452,-0.0255761148784579
5,0,1.0,-0.021444614712843535,0.07638136511375948,0.03368542530573715
6,0,1.0,0.036526399779910124,-0.0010834236186348933,0.015842179057821704
7,0,1.0,-0.013539476372922632,0.048212351029252476,0.020133325174062744
8,0,1.0,0.0018254404004448554,-0.057421451787649014,-0.029831865207771813
9,0,1.0,-0.00557663629329419,-0.03082832660297452,-0.019872106656463995
10,0,2.0,-0.03746292134899909,0.06933911159263273,0.02298503620067882
11,0,2.0,0.042404579571133416,-0.022210184182015147,0.0080727554989245
12,0,2.0,-0.010483708611272458,0.06229685807150598,0.029690017043590644
13,0,2.0,0.004642341808895556,-0.015167930660888396,-0.006798357301126212
14,0,2.0,-0.014906530371555538,-0.016842312616960453,-0.01687003626308936
15,0,3.0,0.024981324859743026,0.09750812567713973,0.0652927285083712
16,0,3.0,0.058373685092477645,0.041170097508125725,0.04834735504125842
17,0,3.0,0.01333799398280866,0.10455037919826649,0.06481382997499796
18,0,3.0,-0.008790494011999939,-0.022210184182015147,-0.01687003626308925
19,0,3.0,0.023620443998676577,-0.0028562986309464966,0.008699321914964697
20,0,4.0,-0.012748962538930542,0.08342361863488623,0.04146752647305241
21,0,4.0,0.02999445448495197,-0.029252437703141898,-0.001662851123264808
22,0,4.0,-0.0015592085787012877,0.013001083423618609,0.0054573609239260135
23,0,4.0,-0.005216813120681896,-0.06446370530877576,-0.036874118728898675
24,0,4.0,-0.01625318057916414,-0.023835319609967542,-0.021238790514122696
25,0,5.0,-0.011147131875314908,0.09046587215601298,0.04642253620067871
26,0,5.0,0.01787763592654268,-0.008125677139761645,0.0032008635388083295
27,0,5.0,-0.01793830335239477,0.02708559046587211,0.006067742967596046
28,0,5.0,-0.016786229619675797,-0.06446370530877576,-0.04261780067875387
29,0,5.0,-0.02269578768750724,-0.058800354575002434,-0.04261780067875376
30,0,6.0,-0.0435719439053901,0.07638136511375948,0.02495354013768669
31,0,6.0,0.01787763592654268,-0.008125677139761645,0.0032008635388083295
32,0,6.0,-0.013539476372922632,0.048212351029252476,0.020133325174062744
33,0,6.0,0.0018254404004448554,-0.057421451787649014,-0.029831865207771813
34,0,6.0,-0.0312951581911044,-0.0028562986309464966,-0.01668286047828793
35,0,7.0,0.0115388935330335,0.09750812567713973,0.059806741627035365
36,0,7.0,0.021060252256656753,0.005958829902491858,0.012115470983287469
37,0,7.0,0.00803217231737019,0.08342361863488623,0.04990811312375576
38,0,7.0,0.006134879122328463,-0.008125677139761645,-0.0023772826399007796
39,0,7.0,-0.008365788272405195,0.04609475032010246,0.02110533695255845
40,0,8.0,-0.04856866736541632,0.09046587215601298,0.03194917962697352
41,0,8.0,0.013944667390290988,0.02708559046587211,0.02021750852540205
42,0,8.0,-0.003690991524437748,0.06229685807150598,0.03252702093350335
43,0,8.0,0.007649860605888126,-0.0010834236186348933,0.002075945291587944
44,0,8.0,-0.022425327364036685,-0.023835319609967542,-0.024116413074683485
50,1,0.0,0.04216183798870565,-0.002083333333333215,0.019847713976523185
51,1,0.0,0.014589106768558069,0.008333333333333415,0.011274735137673408
52,1,0.0,0.005338412966522821,0.018750000000000044,0.012170591800607311
53,1,0.0,-0.007247399390456488,-0.022916666666666585,-0.015344168141466885
54,1,0.0,0.00605508759624096,0.029166666666666785,0.017973299730974945
55,1,1.0,0.053757385298538685,0.10208333333333341,0.07923812186536205
56,1,1.0,0.016207978183914173,0.029166666666666785,0.022808889672947807
57,1,1.0,0.07198915353030688,0.09166666666666679,0.08214442272562716
58,1,1.0,0.03794710861869677,0.050000000000000044,0.04408548541762847
59,1,1.0,0.00830283984399327,0.060416666666666785,0.03575986099579698
60,1,2.0,0.03387102166217504,0.008333333333333415,0.020814208821883895
61,1,2.0,0.03290452681681422,-0.002083333333333215,0.015147110376288131
62,1,2.0,0.005338412966522821,0.018750000000000044,0.012170591800607311
63,1,2.0,-0.01732578684846331,-0.022916666666666585,-0.02030421223074763
64,1,2.0,-0.0036992030569260592,0.039583333333333415,0.018956100713775847
65,1,3.0,0.0039508088962175725,-0.002083333333333215,0.0007484193481995804
66,1,3.0,-0.006115537477609956,-0.002083333333333215,-0.004152722395047381
67,1,3.0,0.0039508088962175725,-0.002083333333333215,0.0007484193481995804
68,1,3.0,-0.007247399390456488,-0.022916666666666585,-0.015344168141466885
69,1,3.0,0.004637150694433156,0.008333333333333415,0.006429288186963311
70,1,4.0,0.02345435499550841,-0.002083333333333215,0.010397542155217265
71,1,4.0,0.014589106768558069,0.008333333333333415,0.011274735137673408
72,1,4.0,-0.004323422782269382,0.029166666666666785,0.013085714198228127
73,1,4.0,-0.027964084720803695,-0.033333333333333215,-0.03083052802022135
74,1,4.0,-0.005531152250868421,0.008333333333333415,0.0015322939282668147
75,1,5.0,0.019666476207629624,0.07083333333333341,0.04662942621318822
76,1,5.0,0.012410178288681073,0.11250000000000004,0.06672901329115777
77,1,5.0,0.021516370499384374,0.09166666666666679,0.05893234069001574
78,1,5.0,0.009888463522640167,0.08125000000000004,0.04794332970100479
79,1,5.0,0.03902212056327392,0.060416666666666785,0.050058861228301055
