,Dataset,Metric,Value,Method,Algorithm,Repetition
72,Petralia(raw),F1 Macro,0.5458333333333334,"ACF, correlation-only",ACF+SVC,0.0
73,Petralia(raw),F1 Macro,0.5125,"ACF, correlation-only",ACF+RF,0.0
74,Petralia(raw),F1 Macro,0.8041666666666667,"ACF, correlation-only",ACF+Ridge,0.0
75,Petralia(raw),F1 Macro,0.75,KNN,KNN,0.0
76,Petralia(raw),F1 Macro,0.5672619047619047,DBC,DBC,0.0
77,Petralia(raw),F1 Macro,0.8117424242424243,Listwise Deletion,SVC,0.0
78,Petralia(raw),F1 Macro,0.6391233766233766,Listwise Deletion,RF,0.0
79,Petralia(raw),F1 Macro,0.8,Listwise Deletion,Ridge,0.0
80,Petralia(IRS),F1 Macro,0.8166666666666667,"ACF, correlation-only",ACF+SVC,0.0
81,Petralia(IRS),F1 Macro,0.8708333333333333,"ACF, correlation-only",ACF+RF,0.0
82,Petralia(IRS),F1 Macro,0.6863095238095238,"ACF, correlation-only",ACF+Ridge,0.0
83,Petralia(IRS),F1 Macro,0.8708333333333333,KNN,KNN,0.0
84,Petralia(IRS),F1 Macro,0.5564935064935065,DBC,DBC,0.0
85,Petralia(IRS),F1 Macro,0.9333333333333333,Listwise Deletion,SVC,0.0
86,Petralia(IRS),F1 Macro,0.8738095238095238,Listwise Deletion,RF,0.0
87,Petralia(IRS),F1 Macro,0.9333333333333333,Listwise Deletion,Ridge,0.0
88,Petralia(IRS),F1 Macro,0.8666666666666667,"ACF, correlation-only",ACF+SVC,0.0
89,Petralia(IRS),F1 Macro,0.7860119047619047,"ACF, correlation-only",ACF+RF,0.0
90,Petralia(IRS),F1 Macro,0.9131944444444444,"ACF, correlation-only",ACF+Ridge,0.0
91,Petralia(IRS),F1 Macro,0.8547619047619048,KNN,KNN,0.0
92,Petralia(IRS),F1 Macro,0.6825757575757576,DBC,DBC,0.0
93,Petralia(IRS),F1 Macro,0.8557539682539683,Listwise Deletion,SVC,0.0
94,Petralia(IRS),F1 Macro,0.8432539682539683,Listwise Deletion,RF,0.0
95,Petralia(IRS),F1 Macro,0.8708333333333333,Listwise Deletion,Ridge,0.0
96,Petralia(IRS),F1 Macro,0.8488095238095238,"ACF, correlation-only",ACF+SVC,0.0
97,Petralia(IRS),F1 Macro,0.8111111111111111,"ACF, correlation-only",ACF+RF,0.0
98,Petralia(IRS),F1 Macro,0.9182539682539682,"ACF, correlation-only",ACF+Ridge,0.0
99,Petralia(IRS),F1 Macro,0.7571428571428571,KNN,KNN,0.0
100,Petralia(IRS),F1 Macro,0.7277777777777777,DBC,DBC,0.0
101,Petralia(IRS),F1 Macro,0.8842261904761904,Listwise Deletion,SVC,0.0
102,Petralia(IRS),F1 Macro,0.8279761904761904,Listwise Deletion,RF,0.0
103,Petralia(IRS),F1 Macro,0.8842261904761904,Listwise Deletion,Ridge,0.0
104,Petralia(IRS),F1 Macro,0.8182539682539682,"ACF, correlation-only",ACF+SVC,0.0
105,Petralia(IRS),F1 Macro,0.8113095238095238,"ACF, correlation-only",ACF+RF,0.0
106,Petralia(IRS),F1 Macro,0.7166666666666667,"ACF, correlation-only",ACF+Ridge,0.0
107,Petralia(IRS),F1 Macro,0.7444444444444445,KNN,KNN,0.0
108,Petralia(IRS),F1 Macro,0.7488095238095238,DBC,DBC,0.0
109,Petralia(IRS),F1 Macro,0.8527777777777777,Listwise Deletion,SVC,0.0
110,Petralia(IRS),F1 Macro,0.9444444444444444,Listwise Deletion,RF,0.0
111,Petralia(IRS),F1 Macro,0.8631944444444445,Listwise Deletion,Ridge,0.0
112,Petralia(IRS),F1 Macro,0.9707792207792207,"ACF, correlation-only",ACF+SVC,0.0
113,Petralia(IRS),F1 Macro,0.7541125541125542,"ACF, correlation-only",ACF+RF,0.0
114,Petralia(IRS),F1 Macro,0.7612554112554113,"ACF, correlation-only",ACF+Ridge,0.0
115,Petralia(IRS),F1 Macro,0.7378205128205129,KNN,KNN,0.0
116,Petralia(IRS),F1 Macro,0.8207792207792208,DBC,DBC,0.0
117,Petralia(IRS),F1 Macro,0.9707792207792207,Listwise Deletion,SVC,0.0
118,Petralia(IRS),F1 Macro,0.9112554112554112,Listwise Deletion,RF,0.0
119,Petralia(IRS),F1 Macro,0.9112554112554112,Listwise Deletion,Ridge,0.0
120,Petralia(IRS),F1 Macro,0.821969696969697,"ACF, correlation-only",ACF+SVC,0.0
121,Petralia(IRS),F1 Macro,0.5791666666666666,"ACF, correlation-only",ACF+RF,0.0
122,Petralia(IRS),F1 Macro,0.8988095238095237,"ACF, correlation-only",ACF+Ridge,0.0
123,Petralia(IRS),F1 Macro,0.8294871794871794,KNN,KNN,0.0
124,Petralia(IRS),F1 Macro,0.6755952380952381,DBC,DBC,0.0
125,Petralia(IRS),F1 Macro,1.0,Listwise Deletion,SVC,0.0
126,Petralia(IRS),F1 Macro,0.9041125541125541,Listwise Deletion,RF,0.0
127,Petralia(IRS),F1 Macro,0.8904761904761904,Listwise Deletion,Ridge,0.0
128,Petralia(IRS),F1 Macro,0.7957792207792207,"ACF, correlation-only",ACF+SVC,0.0
129,Petralia(IRS),F1 Macro,0.725,"ACF, correlation-only",ACF+RF,0.0
130,Petralia(IRS),F1 Macro,0.7672619047619047,"ACF, correlation-only",ACF+Ridge,0.0
131,Petralia(IRS),F1 Macro,0.7325757575757575,KNN,KNN,0.0
132,Petralia(IRS),F1 Macro,0.6479166666666667,DBC,DBC,0.0
133,Petralia(IRS),F1 Macro,0.8819444444444444,Listwise Deletion,SVC,0.0
134,Petralia(IRS),F1 Macro,0.90625,Listwise Deletion,RF,0.0
135,Petralia(IRS),F1 Macro,0.9020833333333333,Listwise Deletion,Ridge,0.0
136,Petralia(IRS),F1 Macro,0.961111111111111,"ACF, correlation-only",ACF+SVC,0.0
137,Petralia(IRS),F1 Macro,0.7979166666666666,"ACF, correlation-only",ACF+RF,0.0
138,Petralia(IRS),F1 Macro,0.7803030303030303,"ACF, correlation-only",ACF+Ridge,0.0
139,Petralia(IRS),F1 Macro,0.8073863636363636,KNN,KNN,0.0
140,Petralia(IRS),F1 Macro,0.8445887445887446,DBC,DBC,0.0
141,Petralia(IRS),F1 Macro,0.7997474747474748,Listwise Deletion,SVC,0.0
142,Petralia(IRS),F1 Macro,0.908080808080808,Listwise Deletion,RF,0.0
143,Petralia(IRS),F1 Macro,0.7833333333333333,Listwise Deletion,Ridge,0.0
144,Petralia(IRS),F1 Macro,0.8390873015873015,"ACF, correlation-only",ACF+SVC,0.0
145,Petralia(IRS),F1 Macro,0.6928030303030304,"ACF, correlation-only",ACF+RF,0.0
146,Petralia(IRS),F1 Macro,0.5916125541125541,"ACF, correlation-only",ACF+Ridge,0.0
147,Petralia(IRS),F1 Macro,0.7178030303030303,KNN,KNN,0.0
148,Petralia(IRS),F1 Macro,0.7325757575757575,DBC,DBC,0.0
149,Petralia(IRS),F1 Macro,0.9011363636363636,Listwise Deletion,SVC,0.0
150,Petralia(IRS),F1 Macro,0.8386363636363636,Listwise Deletion,RF,0.0
151,Petralia(IRS),F1 Macro,0.7803030303030303,Listwise Deletion,Ridge,0.0
152,Petralia(IRS),F1 Macro,0.6583333333333333,"ACF, correlation-only",ACF+SVC,0.0
153,Petralia(IRS),F1 Macro,0.5931818181818183,"ACF, correlation-only",ACF+RF,0.0
154,Petralia(IRS),F1 Macro,0.7333333333333334,"ACF, correlation-only",ACF+Ridge,0.0
155,Petralia(IRS),F1 Macro,0.7291666666666666,KNN,KNN,0.0
156,Petralia(IRS),F1 Macro,0.7794871794871795,DBC,DBC,0.0
157,Petralia(IRS),F1 Macro,0.7791666666666666,Listwise Deletion,SVC,0.0
158,Petralia(IRS),F1 Macro,0.5541666666666667,Listwise Deletion,RF,0.0
159,Petralia(IRS),F1 Macro,0.7617424242424242,Listwise Deletion,Ridge,0.0
160,BRCA(raw),F1 Macro,0.6309523809523809,"ACF, correlation-only",ACF+SVC,0.0
161,BRCA(raw),F1 Macro,0.6057692307692307,"ACF, correlation-only",ACF+RF,0.0
162,BRCA(raw),F1 Macro,0.7083333333333334,"ACF, correlation-only",ACF+Ridge,0.0
163,BRCA(raw),F1 Macro,0.45,KNN,KNN,0.0
164,BRCA(raw),F1 Macro,0.4,DBC,DBC,0.0
165,BRCA(raw),F1 Macro,0.7666666666666666,Listwise Deletion,SVC,0.0
166,BRCA(raw),F1 Macro,0.6309523809523809,Listwise Deletion,RF,0.0
167,BRCA(raw),F1 Macro,0.6047619047619047,Listwise Deletion,Ridge,0.0
168,BRCA(raw),F1 Macro,0.42857142857142855,"ACF, correlation-only",ACF+SVC,0.0
169,BRCA(raw),F1 Macro,0.42857142857142855,"ACF, correlation-only",ACF+RF,0.0
170,BRCA(raw),F1 Macro,0.42857142857142855,"ACF, correlation-only",ACF+Ridge,0.0
171,BRCA(raw),F1 Macro,0.38749999999999996,KNN,KNN,0.0
172,BRCA(raw),F1 Macro,0.5416666666666666,DBC,DBC,0.0
173,BRCA(raw),F1 Macro,0.6309523809523809,Listwise Deletion,SVC,0.0
174,BRCA(raw),F1 Macro,0.6117216117216117,Listwise Deletion,RF,0.0
175,BRCA(raw),F1 Macro,0.5641025641025641,Listwise Deletion,Ridge,0.0
176,BRCA(raw),F1 Macro,0.7307692307692307,"ACF, correlation-only",ACF+SVC,0.0
177,BRCA(raw),F1 Macro,0.5833333333333334,"ACF, correlation-only",ACF+RF,0.0
178,BRCA(raw),F1 Macro,0.5095238095238096,"ACF, correlation-only",ACF+Ridge,0.0
179,BRCA(raw),F1 Macro,0.575,KNN,KNN,0.0
180,BRCA(raw),F1 Macro,0.4734848484848484,DBC,DBC,0.0
181,BRCA(raw),F1 Macro,0.6583333333333333,Listwise Deletion,SVC,0.0
182,BRCA(raw),F1 Macro,0.4,Listwise Deletion,RF,0.0
183,BRCA(raw),F1 Macro,0.6272727272727272,Listwise Deletion,Ridge,0.0
184,BRCA(raw),F1 Macro,0.8333333333333334,"ACF, correlation-only",ACF+SVC,0.0
185,BRCA(raw),F1 Macro,0.7976190476190476,"ACF, correlation-only",ACF+RF,0.0
186,BRCA(raw),F1 Macro,0.9272727272727272,"ACF, correlation-only",ACF+Ridge,0.0
187,BRCA(raw),F1 Macro,0.7976190476190476,KNN,KNN,0.0
188,BRCA(raw),F1 Macro,0.8974358974358974,DBC,DBC,0.0
189,BRCA(raw),F1 Macro,0.825,Listwise Deletion,SVC,0.0
190,BRCA(raw),F1 Macro,0.7000000000000001,Listwise Deletion,RF,0.0
191,BRCA(raw),F1 Macro,0.825,Listwise Deletion,Ridge,0.0
192,BRCA(raw),F1 Macro,0.5166666666666666,"ACF, correlation-only",ACF+SVC,0.0
193,BRCA(raw),F1 Macro,0.553030303030303,"ACF, correlation-only",ACF+RF,0.0
194,BRCA(raw),F1 Macro,0.5673076923076923,"ACF, correlation-only",ACF+Ridge,0.0
195,BRCA(raw),F1 Macro,0.45,KNN,KNN,0.0
196,BRCA(raw),F1 Macro,0.2642857142857143,DBC,DBC,0.0
197,BRCA(raw),F1 Macro,0.6089743589743589,Listwise Deletion,SVC,0.0
198,BRCA(raw),F1 Macro,0.6089743589743589,Listwise Deletion,RF,0.0
199,BRCA(raw),F1 Macro,0.5113636363636364,Listwise Deletion,Ridge,0.0
200,BRCA(raw),F1 Macro,0.7307692307692307,"ACF, correlation-only",ACF+SVC,0.0
201,BRCA(raw),F1 Macro,0.7083333333333334,"ACF, correlation-only",ACF+RF,0.0
202,BRCA(raw),F1 Macro,0.7307692307692307,"ACF, correlation-only",ACF+Ridge,0.0
203,BRCA(raw),F1 Macro,0.38749999999999996,KNN,KNN,0.0
204,BRCA(raw),F1 Macro,0.7083333333333334,DBC,DBC,0.0
205,BRCA(raw),F1 Macro,0.6117216117216117,Listwise Deletion,SVC,0.0
206,BRCA(raw),F1 Macro,0.6474358974358974,Listwise Deletion,RF,0.0
207,BRCA(raw),F1 Macro,0.7307692307692307,Listwise Deletion,Ridge,0.0
208,BRCA(raw),F1 Macro,0.9,"ACF, correlation-only",ACF+SVC,0.0
209,BRCA(raw),F1 Macro,0.6772727272727272,"ACF, correlation-only",ACF+RF,0.0
210,BRCA(raw),F1 Macro,0.7333333333333333,"ACF, correlation-only",ACF+Ridge,0.0
211,BRCA(raw),F1 Macro,0.38749999999999996,KNN,KNN,0.0
212,BRCA(raw),F1 Macro,0.5772727272727273,DBC,DBC,0.0
213,BRCA(raw),F1 Macro,0.5113636363636364,Listwise Deletion,SVC,0.0
214,BRCA(raw),F1 Macro,0.5224358974358974,Listwise Deletion,RF,0.0
215,BRCA(raw),F1 Macro,0.5863636363636364,Listwise Deletion,Ridge,0.0
216,BRCA(raw),F1 Macro,0.4861111111111111,"ACF, correlation-only",ACF+SVC,0.0
217,BRCA(raw),F1 Macro,0.8939393939393939,"ACF, correlation-only",ACF+RF,0.0
218,BRCA(raw),F1 Macro,0.7083333333333333,"ACF, correlation-only",ACF+Ridge,0.0
219,BRCA(raw),F1 Macro,0.37857142857142856,KNN,KNN,0.0
220,BRCA(raw),F1 Macro,0.4444444444444444,DBC,DBC,0.0
221,BRCA(raw),F1 Macro,0.4861111111111111,Listwise Deletion,SVC,0.0
222,BRCA(raw),F1 Macro,0.30000000000000004,Listwise Deletion,RF,0.0
223,BRCA(raw),F1 Macro,0.41666666666666663,Listwise Deletion,Ridge,0.0
224,BRCA(raw),F1 Macro,0.7083333333333333,"ACF, correlation-only",ACF+SVC,0.0
225,BRCA(raw),F1 Macro,0.6818181818181818,"ACF, correlation-only",ACF+RF,0.0
226,BRCA(raw),F1 Macro,0.6818181818181818,"ACF, correlation-only",ACF+Ridge,0.0
227,BRCA(raw),F1 Macro,0.37857142857142856,KNN,KNN,0.0
228,BRCA(raw),F1 Macro,0.37499999999999994,DBC,DBC,0.0
229,BRCA(raw),F1 Macro,0.3333333333333333,Listwise Deletion,SVC,0.0
230,BRCA(raw),F1 Macro,0.6916666666666668,Listwise Deletion,RF,0.0
231,BRCA(raw),F1 Macro,0.575,Listwise Deletion,Ridge,0.0
232,BRCA(raw),F1 Macro,0.7666666666666666,"ACF, correlation-only",ACF+SVC,0.0
233,BRCA(raw),F1 Macro,0.7666666666666666,"ACF, correlation-only",ACF+RF,0.0
234,BRCA(raw),F1 Macro,0.8250000000000001,"ACF, correlation-only",ACF+Ridge,0.0
235,BRCA(raw),F1 Macro,0.4423076923076923,KNN,KNN,0.0
236,BRCA(raw),F1 Macro,0.6722222222222223,DBC,DBC,0.0
237,BRCA(raw),F1 Macro,0.6309523809523809,Listwise Deletion,SVC,0.0
238,BRCA(raw),F1 Macro,0.5,Listwise Deletion,RF,0.0
239,BRCA(raw),F1 Macro,0.6309523809523809,Listwise Deletion,Ridge,0.0
