,Metric,Value,Method,Algorithm,mv,sigma,diff_mu_12_mu_11,diff_mu_13_mu_23,Neighbors,Repetition
25,F1 Macro,0.9127141832059865,"ACF, correlation-only",ACF+RF,0.9040483477109175,0.10106076924535398,0.01856295228600216,0.032484503589165714,,0.0
26,F1 Macro,0.9007936507936508,"ACF, correlation-only",ACF+Ridge,0.9040483477109175,0.10106076924535398,0.01856295228600216,0.032484503589165714,,0.0
27,F1 Macro,0.9831904773211134,"ACF, with covariable",ACF+SVC,0.9040483477109175,0.10106076924535398,0.01856295228600216,0.032484503589165714,,0.0
28,F1 Macro,0.9910499524528724,"ACF, with covariable",ACF+RF,0.9040483477109175,0.10106076924535398,0.01856295228600216,0.032484503589165714,,0.0
29,F1 Macro,0.9578146807655005,"ACF, with covariable",ACF+Ridge,0.9040483477109175,0.10106076924535398,0.01856295228600216,0.032484503589165714,,0.0
30,F1 Macro,0.7117958294428882,KNN,KNN,0.9040483477109175,0.10106076924535398,0.01856295228600216,0.032484503589165714,13.3,0.0
31,F1 Macro,0.7765671509174107,KNN,KNN+ROs,0.9040483477109175,0.10106076924535398,0.01856295228600216,0.032484503589165714,98.7,0.0
32,F1 Macro,0.88116458704694,DBC,DBC,0.9040483477109175,0.10106076924535398,0.01856295228600216,0.032484503589165714,,0.0
33,F1 Macro,0.27987742105389163,Listwise Deletion,SVC,0.9040483477109175,0.10106076924535398,0.01856295228600216,0.032484503589165714,,0.0
34,F1 Macro,0.23435807348850832,Listwise Deletion,RF,0.9040483477109175,0.10106076924535398,0.01856295228600216,0.032484503589165714,,0.0
35,F1 Macro,0.3192363192363193,Listwise Deletion,Ridge,0.9040483477109175,0.10106076924535398,0.01856295228600216,0.032484503589165714,,0.0
36,F1 Macro,0.9368356732014194,"ACF, correlation-only",ACF+SVC,0.9035390802923059,0.10127802612471665,0.019005428433110594,0.04713774946191947,,0.0
37,F1 Macro,0.9514327343370569,"ACF, correlation-only",ACF+RF,0.9035390802923059,0.10127802612471665,0.019005428433110594,0.04713774946191947,,0.0
38,F1 Macro,0.9038979968725457,"ACF, correlation-only",ACF+Ridge,0.9035390802923059,0.10127802612471665,0.019005428433110594,0.04713774946191947,,0.0
39,F1 Macro,0.9841269841269842,"ACF, with covariable",ACF+SVC,0.9035390802923059,0.10127802612471665,0.019005428433110594,0.04713774946191947,,0.0
40,F1 Macro,0.9606871879545543,"ACF, with covariable",ACF+RF,0.9035390802923059,0.10127802612471665,0.019005428433110594,0.04713774946191947,,0.0
41,F1 Macro,0.9504742742167288,"ACF, with covariable",ACF+Ridge,0.9035390802923059,0.10127802612471665,0.019005428433110594,0.04713774946191947,,0.0
42,F1 Macro,0.6588410163104809,KNN,KNN,0.9035390802923059,0.10127802612471665,0.019005428433110594,0.04713774946191947,7.9,0.0
43,F1 Macro,0.7980485071359776,KNN,KNN+ROs,0.9035390802923059,0.10127802612471665,0.019005428433110594,0.04713774946191947,105.1,0.0
44,F1 Macro,0.8388047138047138,DBC,DBC,0.9035390802923059,0.10127802612471665,0.019005428433110594,0.04713774946191947,,0.0
45,F1 Macro,0.284891240446796,Listwise Deletion,SVC,0.9035390802923059,0.10127802612471665,0.019005428433110594,0.04713774946191947,,0.0
46,F1 Macro,0.3299603848330504,Listwise Deletion,RF,0.9035390802923059,0.10127802612471665,0.019005428433110594,0.04713774946191947,,0.0
47,F1 Macro,0.31365856595860736,Listwise Deletion,Ridge,0.9035390802923059,0.10127802612471665,0.019005428433110594,0.04713774946191947,,0.0
48,F1 Macro,0.9150349515313018,"ACF, correlation-only",ACF+SVC,0.9030061312139033,0.10215744552213396,0.025036866238129424,0.033123109728780964,,0.0
49,F1 Macro,0.9006890112366785,"ACF, correlation-only",ACF+RF,0.9030061312139033,0.10215744552213396,0.025036866238129424,0.033123109728780964,,0.0
50,F1 Macro,0.8858701962150238,"ACF, correlation-only",ACF+Ridge,0.9030061312139033,0.10215744552213396,0.025036866238129424,0.033123109728780964,,0.0
51,F1 Macro,0.9688327879071217,"ACF, with covariable",ACF+SVC,0.9030061312139033,0.10215744552213396,0.025036866238129424,0.033123109728780964,,0.0
52,F1 Macro,0.9764123127727325,"ACF, with covariable",ACF+RF,0.9030061312139033,0.10215744552213396,0.025036866238129424,0.033123109728780964,,0.0
53,F1 Macro,0.9514793323303962,"ACF, with covariable",ACF+Ridge,0.9030061312139033,0.10215744552213396,0.025036866238129424,0.033123109728780964,,0.0
54,F1 Macro,0.6329452696373612,KNN,KNN,0.9030061312139033,0.10215744552213396,0.025036866238129424,0.033123109728780964,7.5,0.0
55,F1 Macro,0.7646338067390698,KNN,KNN+ROs,0.9030061312139033,0.10215744552213396,0.025036866238129424,0.033123109728780964,99.8,0.0
56,F1 Macro,0.8400633757776615,DBC,DBC,0.9030061312139033,0.10215744552213396,0.025036866238129424,0.033123109728780964,,0.0
57,F1 Macro,0.2797743973426469,Listwise Deletion,SVC,0.9030061312139033,0.10215744552213396,0.025036866238129424,0.033123109728780964,,0.0
58,F1 Macro,0.46639684132593945,Listwise Deletion,RF,0.9030061312139033,0.10215744552213396,0.025036866238129424,0.033123109728780964,,0.0
59,F1 Macro,0.3183788938334393,Listwise Deletion,Ridge,0.9030061312139033,0.10215744552213396,0.025036866238129424,0.033123109728780964,,0.0
60,F1 Macro,0.9037427801309202,"ACF, correlation-only",ACF+SVC,0.9024483992448239,0.1007451528208658,0.02129714440077443,0.0386600922373008,,0.0
61,F1 Macro,0.8740005353188797,"ACF, correlation-only",ACF+RF,0.9024483992448239,0.1007451528208658,0.02129714440077443,0.0386600922373008,,0.0
62,F1 Macro,0.8474563672583474,"ACF, correlation-only",ACF+Ridge,0.9024483992448239,0.1007451528208658,0.02129714440077443,0.0386600922373008,,0.0
63,F1 Macro,0.9764123127727325,"ACF, with covariable",ACF+SVC,0.9024483992448239,0.1007451528208658,0.02129714440077443,0.0386600922373008,,0.0
64,F1 Macro,0.9597154298466197,"ACF, with covariable",ACF+RF,0.9024483992448239,0.1007451528208658,0.02129714440077443,0.0386600922373008,,0.0
65,F1 Macro,0.8827094474153299,"ACF, with covariable",ACF+Ridge,0.9024483992448239,0.1007451528208658,0.02129714440077443,0.0386600922373008,,0.0
