,Algorithm,score,mv,sigma,diff_mu_12_mu_11,diff_mu_13_mu_23,points
0,ACF-SVC,0.9583072753804461,0.9,0.09817384790475839,0.022545458453228945,0.039106986197717936,
1,F-ACF-SVC,0.6341317202236872,0.9,0.09817384790475839,0.022545458453228945,0.039106986197717936,4.0
2,F-ACF-SVC,0.751170569107282,0.9,0.09817384790475839,0.022545458453228945,0.039106986197717936,8.0
3,F-ACF-SVC,0.8303137900514749,0.9,0.09817384790475839,0.022545458453228945,0.039106986197717936,12.0
4,F-ACF-SVC,0.8612652416633528,0.9,0.09817384790475839,0.022545458453228945,0.039106986197717936,16.0
5,F-ACF-SVC,0.8794937495147138,0.9,0.09817384790475839,0.022545458453228945,0.039106986197717936,20.0
6,F-ACF-SVC,0.9500922207195348,0.9,0.09817384790475839,0.022545458453228945,0.039106986197717936,24.0
7,F-ACF-SVC,0.9294100006691273,0.9,0.09817384790475839,0.022545458453228945,0.039106986197717936,28.0
8,F-ACF-SVC,0.9205528668281368,0.9,0.09817384790475839,0.022545458453228945,0.039106986197717936,32.0
9,F-ACF-SVC,0.9624985350990274,0.9,0.09817384790475839,0.022545458453228945,0.039106986197717936,36.0
10,F-ACF-SVC,0.9623950154302903,0.9,0.09817384790475839,0.022545458453228945,0.039106986197717936,40.0
11,F-ACF-SVC,0.9666067055217491,0.9,0.09817384790475839,0.022545458453228945,0.039106986197717936,44.0
12,F-ACF-SVC,0.9497349846330155,0.9,0.09817384790475839,0.022545458453228945,0.039106986197717936,48.0
13,F-ACF-SVC,0.9708321939659101,0.9,0.09817384790475839,0.022545458453228945,0.039106986197717936,52.0
14,F-ACF-SVC,0.9874995116996758,0.9,0.09817384790475839,0.022545458453228945,0.039106986197717936,56.0
15,F-ACF-SVC,0.9791658528327929,0.9,0.09817384790475839,0.022545458453228945,0.039106986197717936,60.0
16,F-ACF-SVC,0.9708048224177257,0.9,0.09817384790475839,0.022545458453228945,0.039106986197717936,64.0
17,ACF-SVC,0.9541648762321445,0.8973277168304266,0.09564132233175904,0.023279905676873325,0.03776225236986511,
18,F-ACF-SVC,0.6410997004706889,0.8973277168304266,0.09564132233175904,0.023279905676873325,0.03776225236986511,4.0
19,F-ACF-SVC,0.7593068035943517,0.8973277168304266,0.09564132233175904,0.023279905676873325,0.03776225236986511,8.0
20,F-ACF-SVC,0.8284526787575568,0.8973277168304266,0.09564132233175904,0.023279905676873325,0.03776225236986511,12.0
21,F-ACF-SVC,0.7791666666666668,0.8973277168304266,0.09564132233175904,0.023279905676873325,0.03776225236986511,16.0
22,F-ACF-SVC,0.9293720954098313,0.8973277168304266,0.09564132233175904,0.023279905676873325,0.03776225236986511,20.0
23,F-ACF-SVC,0.8833333333333333,0.8973277168304266,0.09564132233175904,0.023279905676873325,0.03776225236986511,24.0
24,F-ACF-SVC,0.9205973215099549,0.8973277168304266,0.09564132233175904,0.023279905676873325,0.03776225236986511,28.0
25,F-ACF-SVC,0.9374013324997069,0.8973277168304266,0.09564132233175904,0.023279905676873325,0.03776225236986511,32.0
26,F-ACF-SVC,0.958326821899255,0.8973277168304266,0.09564132233175904,0.023279905676873325,0.03776225236986511,36.0
27,F-ACF-SVC,0.9538239517085967,0.8973277168304266,0.09564132233175904,0.023279905676873325,0.03776225236986511,40.0
28,F-ACF-SVC,0.9374716785811946,0.8973277168304266,0.09564132233175904,0.023279905676873325,0.03776225236986511,44.0
29,F-ACF-SVC,0.9462123728394097,0.8973277168304266,0.09564132233175904,0.023279905676873325,0.03776225236986511,48.0
30,F-ACF-SVC,0.9667441436514448,0.8973277168304266,0.09564132233175904,0.023279905676873325,0.03776225236986511,52.0
31,F-ACF-SVC,0.9791658528327929,0.8973277168304266,0.09564132233175904,0.023279905676873325,0.03776225236986511,56.0
32,F-ACF-SVC,0.9750000000000001,0.8973277168304266,0.09564132233175904,0.023279905676873325,0.03776225236986511,60.0
33,F-ACF-SVC,0.9833333333333334,0.8973277168304266,0.09564132233175904,0.023279905676873325,0.03776225236986511,64.0
34,ACF-SVC,0.9709108103181116,0.8939413239270145,0.09270009831322695,0.01787549882679207,0.0413765217800445,
35,F-ACF-SVC,0.7093544279173022,0.8939413239270145,0.09270009831322695,0.01787549882679207,0.0413765217800445,4.0
36,F-ACF-SVC,0.7433625075134508,0.8939413239270145,0.09270009831322695,0.01787549882679207,0.0413765217800445,8.0
37,F-ACF-SVC,0.825693843855649,0.8939413239270145,0.09270009831322695,0.01787549882679207,0.0413765217800445,12.0
38,F-ACF-SVC,0.8999921377466782,0.8939413239270145,0.09270009831322695,0.01787549882679207,0.0413765217800445,16.0
39,F-ACF-SVC,0.8764079058196707,0.8939413239270145,0.09270009831322695,0.01787549882679207,0.0413765217800445,20.0
40,F-ACF-SVC,0.9335352123612083,0.8939413239270145,0.09270009831322695,0.01787549882679207,0.0413765217800445,24.0
41,F-ACF-SVC,0.9131788012822956,0.8939413239270145,0.09270009831322695,0.01787549882679207,0.0413765217800445,28.0
42,F-ACF-SVC,0.9377193895019301,0.8939413239270145,0.09270009831322695,0.01787549882679207,0.0413765217800445,32.0
43,F-ACF-SVC,0.9541648762321445,0.8939413239270145,0.09270009831322695,0.01787549882679207,0.0413765217800445,36.0
44,F-ACF-SVC,0.9581725009116008,0.8939413239270145,0.09270009831322695,0.01787549882679207,0.0413765217800445,40.0
45,F-ACF-SVC,0.9667669427514717,0.8939413239270145,0.09270009831322695,0.01787549882679207,0.0413765217800445,44.0
