,Metric,Value,Method,Algorithm,mv,sigma,diff_mu_12_mu_11,diff_mu_13_mu_23,Neighbors,size
57,F1 Macro,0.8210821213950728,KNN,KNN,0.81,0.05108275888448914,0.02236786718284714,0.04072050717757056,5.5,215.0
58,F1 Macro,0.9274607355379964,KNN,KNN+ROs,0.81,0.05108275888448914,0.02236786718284714,0.04072050717757056,119.2,215.0
59,F1 Macro,0.9944200565798459,DBC,DBC,0.81,0.05108275888448914,0.02236786718284714,0.04072050717757056,119.2,215.0
60,F1 Macro,0.9948796722990272,ACF,ACF+SVC,0.81,0.051167568968291326,0.019529712552864814,0.03971835025888219,,234.0
61,F1 Macro,1.0,ACF,ACF+RF,0.81,0.051167568968291326,0.019529712552864814,0.03971835025888219,,234.0
62,F1 Macro,1.0,ACF,ACF+Ridge,0.81,0.051167568968291326,0.019529712552864814,0.03971835025888219,,234.0
63,F1 Macro,0.7890333203345032,KNN,KNN,0.81,0.051167568968291326,0.019529712552864814,0.03971835025888219,11.5,234.0
64,F1 Macro,0.9443492452060384,KNN,KNN+ROs,0.81,0.051167568968291326,0.019529712552864814,0.03971835025888219,107.4,234.0
65,F1 Macro,0.9796427633307067,DBC,DBC,0.81,0.051167568968291326,0.019529712552864814,0.03971835025888219,107.4,234.0
66,F1 Macro,1.0,ACF,ACF+SVC,0.81,0.050355848658968715,0.01920136024507646,0.04098842568835294,,252.0
67,F1 Macro,0.9898064526074813,ACF,ACF+RF,0.81,0.050355848658968715,0.01920136024507646,0.04098842568835294,,252.0
68,F1 Macro,0.9905904890691909,ACF,ACF+Ridge,0.81,0.050355848658968715,0.01920136024507646,0.04098842568835294,,252.0
69,F1 Macro,0.8113912231559292,KNN,KNN,0.81,0.050355848658968715,0.01920136024507646,0.04098842568835294,7.4,252.0
70,F1 Macro,0.9723601456471368,KNN,KNN+ROs,0.81,0.050355848658968715,0.01920136024507646,0.04098842568835294,105.8,252.0
71,F1 Macro,0.9905904890691909,DBC,DBC,0.81,0.050355848658968715,0.01920136024507646,0.04098842568835294,105.8,252.0
72,F1 Macro,0.9911816578483245,ACF,ACF+SVC,0.81,0.05143566219368052,0.01666756410751563,0.041261847176868066,,271.0
73,F1 Macro,0.9911816578483245,ACF,ACF+RF,0.81,0.05143566219368052,0.01666756410751563,0.041261847176868066,,271.0
74,F1 Macro,0.9819711538461537,ACF,ACF+Ridge,0.81,0.05143566219368052,0.01666756410751563,0.041261847176868066,,271.0
75,F1 Macro,0.7700353754501333,KNN,KNN,0.81,0.05143566219368052,0.01666756410751563,0.041261847176868066,9.2,271.0
76,F1 Macro,0.9527068181003905,KNN,KNN+ROs,0.81,0.05143566219368052,0.01666756410751563,0.041261847176868066,104.7,271.0
77,F1 Macro,0.9780693738806242,DBC,DBC,0.81,0.05143566219368052,0.01666756410751563,0.041261847176868066,104.7,271.0
78,F1 Macro,0.987559029474027,ACF,ACF+SVC,0.81,0.051136715614155885,0.018628554556336857,0.040433736170120804,,289.0
79,F1 Macro,0.9958530098246756,ACF,ACF+RF,0.81,0.051136715614155885,0.018628554556336857,0.040433736170120804,,289.0
80,F1 Macro,0.9831569664902998,ACF,ACF+Ridge,0.81,0.051136715614155885,0.018628554556336857,0.040433736170120804,,289.0
81,F1 Macro,0.8138168247204467,KNN,KNN,0.81,0.051136715614155885,0.018628554556336857,0.040433736170120804,9.3,289.0
82,F1 Macro,0.9471088815754438,KNN,KNN+ROs,0.81,0.051136715614155885,0.018628554556336857,0.040433736170120804,155.0,289.0
83,F1 Macro,0.987432970358917,DBC,DBC,0.81,0.051136715614155885,0.018628554556336857,0.040433736170120804,155.0,289.0
84,F1 Macro,1.0,ACF,ACF+SVC,0.81,0.05113737739937941,0.020858008748727452,0.04088709098176317,,307.0
85,F1 Macro,0.996120382256454,ACF,ACF+RF,0.81,0.05113737739937941,0.020858008748727452,0.04088709098176317,,307.0
