,Class,Left-Out Correlation,Precision,Recall,F1 Score
0,Basal,Basal,-0.05714285714285716,0.16666666666666663,0.0625641025641025
1,Basal,Basal,0.44285714285714284,0.33333333333333326,0.36256410256410254
2,Basal,Basal,0.10952380952380947,-1.1102230246251565e-16,0.02923076923076917
3,Basal,Basal,0.31785714285714284,-0.16666666666666674,0.09333333333333327
4,Basal,Basal,-0.05714285714285716,0.33333333333333326,0.1958974358974359
5,Basal,Her2,0.08571428571428574,-0.16666666666666674,-0.060512820512820475
6,Basal,Her2,0.2761904761904762,-0.16666666666666674,0.0625641025641025
7,Basal,Her2,0.10952380952380947,-1.1102230246251565e-16,0.02923076923076917
8,Basal,Her2,-0.05714285714285716,-0.16666666666666674,-0.13743589743589746
9,Basal,Her2,-0.05714285714285716,0.33333333333333326,0.1958974358974359
10,Basal,LumA,0.08571428571428574,-0.16666666666666674,-0.060512820512820475
11,Basal,LumA,0.10952380952380947,-1.1102230246251565e-16,0.02923076923076917
12,Basal,LumA,0.10952380952380947,-1.1102230246251565e-16,0.02923076923076917
13,Basal,LumA,-0.05714285714285716,-0.16666666666666674,-0.13743589743589746
14,Basal,LumA,-0.05714285714285716,-1.1102230246251565e-16,-0.04652680652680652
15,Basal,LumB,0.08571428571428574,-0.16666666666666674,-0.060512820512820475
16,Basal,LumB,-0.05714285714285716,0.16666666666666663,0.0625641025641025
17,Basal,LumB,-0.05714285714285716,0.16666666666666663,0.0625641025641025
18,Basal,LumB,-0.05714285714285716,-0.16666666666666674,-0.13743589743589746
19,Basal,LumB,-0.05714285714285716,0.16666666666666663,0.0625641025641025
25,Her2,Basal,0.2857142857142858,0.39999999999999997,0.2733333333333333
26,Her2,Basal,0.3857142857142858,0.06666666666666665,0.17333333333333334
27,Her2,Basal,0.2857142857142858,-0.2666666666666667,0.00666666666666671
28,Her2,Basal,-0.2142857142857142,0.06666666666666665,-0.1266666666666667
29,Her2,Basal,0.18571428571428583,-0.2666666666666667,-0.07666666666666655
30,Her2,Her2,-0.2142857142857142,0.39999999999999997,0.17333333333333334
31,Her2,Her2,-0.2142857142857142,0.39999999999999997,0.17333333333333334
32,Her2,Her2,0.6190476190476192,0.23333333333333328,0.42333333333333334
33,Her2,Her2,-0.2142857142857142,0.39999999999999997,0.17333333333333334
34,Her2,Her2,0.2857142857142858,-0.2666666666666667,0.00666666666666671
35,Her2,LumA,0.7857142857142858,0.7333333333333333,0.6733333333333333
36,Her2,LumA,0.3857142857142858,0.06666666666666665,0.17333333333333334
37,Her2,LumA,0.5857142857142859,0.23333333333333328,0.3876190476190476
38,Her2,LumA,0.7857142857142858,0.7333333333333333,0.6733333333333333
39,Her2,LumA,0.35714285714285726,-0.2666666666666667,0.07333333333333336
40,Her2,LumB,0.7857142857142858,0.7333333333333333,0.6733333333333333
41,Her2,LumB,0.03571428571428581,-0.2666666666666667,-0.18380952380952376
42,Her2,LumB,0.3857142857142858,-0.2666666666666667,0.10190476190476183
43,Her2,LumB,-0.2142857142857142,0.06666666666666665,-0.1266666666666667
44,Her2,LumB,0.2857142857142858,0.06666666666666665,0.10190476190476183
50,LumA,Basal,0.027272727272727226,-0.06818181818181812,-0.037519513734347365
51,LumA,Basal,-0.15454545454545454,0.015151515151515249,-0.054910818082173574
52,LumA,Basal,0.045454545454545414,-0.045454545454545414,-0.016815579986935503
53,LumA,Basal,0.045454545454545414,-0.045454545454545414,-0.016815579986935503
54,LumA,Basal,0.012121212121212088,0.22727272727272735,0.1568538878001794
55,LumA,Her2,-0.15454545454545454,-0.23484848484848475,-0.21143255721260834
56,LumA,Her2,-0.15454545454545454,-0.1515151515151515,-0.1640017271730826
57,LumA,Her2,0.17878787878787883,0.31818181818181823,0.2745009466237088
