,Dataset,Value,Method,Algorithm,Repetition
589,Petralia IRS,0.773611111111111,"ACF, correlation only",ACF+RF,9
590,Petralia IRS,0.7672619047619047,"ACF, correlation only",ACF+Ridge,9
591,Petralia IRS,0.8261904761904763,"ACF, correlation only",ACF+SVC,9
592,Petralia IRS,0.8604166666666666,"ACF, correlation only",ACF+RF,9
593,Petralia IRS,0.6461760461760462,"ACF, correlation only",ACF+Ridge,9
594,Petralia IRS,0.7833333333333333,"ACF, correlation only",ACF+SVC,9
595,Petralia IRS,0.8527777777777779,"ACF, correlation only",ACF+RF,9
596,Petralia IRS,0.7303030303030302,"ACF, correlation only",ACF+Ridge,9
597,Petralia IRS,0.5666666666666667,"ACF, correlation only",ACF+SVC,9
598,Petralia IRS,0.5931818181818183,"ACF, correlation only",ACF+RF,9
599,Petralia IRS,0.7617424242424242,"ACF, correlation only",ACF+Ridge,9
600,Petralia IRS with Covariable,0.7440476190476191,"ACF, with covariable",ACF+SVC,10
601,Petralia IRS with Covariable,0.6349206349206349,"ACF, with covariable",ACF+RF,10
602,Petralia IRS with Covariable,0.6892857142857143,"ACF, with covariable",ACF+Ridge,10
603,Petralia IRS with Covariable,0.9015873015873015,"ACF, with covariable",ACF+SVC,10
604,Petralia IRS with Covariable,0.7922619047619048,"ACF, with covariable",ACF+RF,10
605,Petralia IRS with Covariable,0.9131944444444444,"ACF, with covariable",ACF+Ridge,10
606,Petralia IRS with Covariable,0.9154761904761904,"ACF, with covariable",ACF+SVC,10
607,Petralia IRS with Covariable,0.8488095238095238,"ACF, with covariable",ACF+RF,10
608,Petralia IRS with Covariable,0.8696428571428572,"ACF, with covariable",ACF+Ridge,10
609,Petralia IRS with Covariable,0.7219696969696969,"ACF, with covariable",ACF+SVC,10
610,Petralia IRS with Covariable,0.675915750915751,"ACF, with covariable",ACF+RF,10
611,Petralia IRS with Covariable,0.9323863636363636,"ACF, with covariable",ACF+Ridge,10
612,Petralia IRS with Covariable,0.8798611111111111,"ACF, with covariable",ACF+SVC,10
613,Petralia IRS with Covariable,1.0,"ACF, with covariable",ACF+RF,10
614,Petralia IRS with Covariable,0.7892857142857144,"ACF, with covariable",ACF+Ridge,10
615,Petralia IRS with Covariable,0.9404761904761905,"ACF, with covariable",ACF+SVC,10
616,Petralia IRS with Covariable,0.7738095238095238,"ACF, with covariable",ACF+RF,10
617,Petralia IRS with Covariable,0.9571428571428571,"ACF, with covariable",ACF+Ridge,10
618,Petralia IRS with Covariable,0.7464285714285714,"ACF, with covariable",ACF+SVC,10
619,Petralia IRS with Covariable,0.8277777777777778,"ACF, with covariable",ACF+RF,10
620,Petralia IRS with Covariable,0.8708333333333333,"ACF, with covariable",ACF+Ridge,10
621,Petralia IRS with Covariable,0.8541666666666666,"ACF, with covariable",ACF+SVC,10
622,Petralia IRS with Covariable,0.7964285714285715,"ACF, with covariable",ACF+RF,10
623,Petralia IRS with Covariable,0.8457792207792207,"ACF, with covariable",ACF+Ridge,10
624,Petralia IRS with Covariable,0.7339285714285715,"ACF, with covariable",ACF+SVC,10
625,Petralia IRS with Covariable,0.7520833333333334,"ACF, with covariable",ACF+RF,10
626,Petralia IRS with Covariable,0.7,"ACF, with covariable",ACF+Ridge,10
627,Petralia IRS with Covariable,0.7159090909090909,"ACF, with covariable",ACF+SVC,10
628,Petralia IRS with Covariable,0.7348484848484849,"ACF, with covariable",ACF+RF,10
629,Petralia IRS with Covariable,0.7791666666666666,"ACF, with covariable",ACF+Ridge,10
630,Petralia IRS,0.8166666666666667,"ACF, correlation only",ACF+SVC,10
631,Petralia IRS,0.6378968253968254,"ACF, correlation only",ACF+RF,10
632,Petralia IRS,0.7837301587301587,"ACF, correlation only",ACF+Ridge,10
633,Petralia IRS,0.9182539682539683,"ACF, correlation only",ACF+SVC,10
634,Petralia IRS,0.7535714285714286,"ACF, correlation only",ACF+RF,10
635,Petralia IRS,0.9154761904761904,"ACF, correlation only",ACF+Ridge,10
636,Petralia IRS,0.8488095238095238,"ACF, correlation only",ACF+SVC,10
637,Petralia IRS,0.7890873015873017,"ACF, correlation only",ACF+RF,10
638,Petralia IRS,0.8258928571428572,"ACF, correlation only",ACF+Ridge,10
639,Petralia IRS,0.7444444444444445,"ACF, correlation only",ACF+SVC,10
640,Petralia IRS,0.8113095238095238,"ACF, correlation only",ACF+RF,10
641,Petralia IRS,0.7166666666666667,"ACF, correlation only",ACF+Ridge,10
642,Petralia IRS,0.9707792207792207,"ACF, correlation only",ACF+SVC,10
643,Petralia IRS,0.9112554112554112,"ACF, correlation only",ACF+RF,10
644,Petralia IRS,0.802922077922078,"ACF, correlation only",ACF+Ridge,10
645,Petralia IRS,0.821969696969697,"ACF, correlation only",ACF+SVC,10
646,Petralia IRS,0.709469696969697,"ACF, correlation only",ACF+RF,10
647,Petralia IRS,0.8988095238095237,"ACF, correlation only",ACF+Ridge,10
648,Petralia IRS,0.7957792207792207,"ACF, correlation only",ACF+SVC,10
649,Petralia IRS,0.8214285714285714,"ACF, correlation only",ACF+RF,10
650,Petralia IRS,0.7672619047619047,"ACF, correlation only",ACF+Ridge,10
651,Petralia IRS,0.961111111111111,"ACF, correlation only",ACF+SVC,10
652,Petralia IRS,0.8604166666666666,"ACF, correlation only",ACF+RF,10
653,Petralia IRS,0.8803030303030304,"ACF, correlation only",ACF+Ridge,10
654,Petralia IRS,0.834469696969697,"ACF, correlation only",ACF+SVC,10
655,Petralia IRS,0.7130952380952381,"ACF, correlation only",ACF+RF,10
656,Petralia IRS,0.7261363636363636,"ACF, correlation only",ACF+Ridge,10
657,Petralia IRS,0.5431818181818182,"ACF, correlation only",ACF+SVC,10
658,Petralia IRS,0.8172619047619047,"ACF, correlation only",ACF+RF,10
659,Petralia IRS,0.775,"ACF, correlation only",ACF+Ridge,10
660,Petralia IRS with Covariable,0.7797619047619048,"ACF, with covariable",ACF+SVC,11
661,Petralia IRS with Covariable,0.8166666666666667,"ACF, with covariable",ACF+RF,11
662,Petralia IRS with Covariable,0.6892857142857143,"ACF, with covariable",ACF+Ridge,11
663,Petralia IRS with Covariable,0.8944444444444444,"ACF, with covariable",ACF+SVC,11
664,Petralia IRS with Covariable,0.7875,"ACF, with covariable",ACF+RF,11
665,Petralia IRS with Covariable,0.9131944444444444,"ACF, with covariable",ACF+Ridge,11
666,Petralia IRS with Covariable,0.8130952380952381,"ACF, with covariable",ACF+SVC,11
667,Petralia IRS with Covariable,0.8515873015873017,"ACF, with covariable",ACF+RF,11
668,Petralia IRS with Covariable,0.7821428571428571,"ACF, with covariable",ACF+Ridge,11
669,Petralia IRS with Covariable,0.6958333333333333,"ACF, with covariable",ACF+SVC,11
670,Petralia IRS with Covariable,0.6259157509157509,"ACF, with covariable",ACF+RF,11
671,Petralia IRS with Covariable,0.7979166666666666,"ACF, with covariable",ACF+Ridge,11
672,Petralia IRS with Covariable,0.8798611111111111,"ACF, with covariable",ACF+SVC,11
673,Petralia IRS with Covariable,1.0,"ACF, with covariable",ACF+RF,11
674,Petralia IRS with Covariable,0.7342261904761904,"ACF, with covariable",ACF+Ridge,11
675,Petralia IRS with Covariable,0.7832792207792207,"ACF, with covariable",ACF+SVC,11
676,Petralia IRS with Covariable,0.9112554112554112,"ACF, with covariable",ACF+RF,11
677,Petralia IRS with Covariable,0.9571428571428571,"ACF, with covariable",ACF+Ridge,11
678,Petralia IRS with Covariable,0.7833333333333334,"ACF, with covariable",ACF+SVC,11
679,Petralia IRS with Covariable,0.7916666666666666,"ACF, with covariable",ACF+RF,11
680,Petralia IRS with Covariable,0.8708333333333333,"ACF, with covariable",ACF+Ridge,11
681,Petralia IRS with Covariable,0.8541666666666666,"ACF, with covariable",ACF+SVC,11
682,Petralia IRS with Covariable,0.8321428571428571,"ACF, with covariable",ACF+RF,11
683,Petralia IRS with Covariable,0.6907196969696969,"ACF, with covariable",ACF+Ridge,11
684,Petralia IRS with Covariable,0.7863095238095239,"ACF, with covariable",ACF+SVC,11
685,Petralia IRS with Covariable,0.7,"ACF, with covariable",ACF+RF,11
686,Petralia IRS with Covariable,0.7303030303030302,"ACF, with covariable",ACF+Ridge,11
687,Petralia IRS with Covariable,0.6265151515151515,"ACF, with covariable",ACF+SVC,11
688,Petralia IRS with Covariable,0.6265151515151515,"ACF, with covariable",ACF+RF,11
689,Petralia IRS with Covariable,0.7791666666666666,"ACF, with covariable",ACF+Ridge,11
690,Petralia IRS,0.8166666666666667,"ACF, correlation only",ACF+SVC,11
691,Petralia IRS,0.7081349206349206,"ACF, correlation only",ACF+RF,11
692,Petralia IRS,0.7207792207792207,"ACF, correlation only",ACF+Ridge,11
693,Petralia IRS,0.8666666666666667,"ACF, correlation only",ACF+SVC,11
694,Petralia IRS,0.8145833333333333,"ACF, correlation only",ACF+RF,11
695,Petralia IRS,0.9682539682539683,"ACF, correlation only",ACF+Ridge,11
696,Petralia IRS,0.9182539682539683,"ACF, correlation only",ACF+SVC,11
697,Petralia IRS,0.8833333333333333,"ACF, correlation only",ACF+RF,11
698,Petralia IRS,0.95,"ACF, correlation only",ACF+Ridge,11
699,Petralia IRS,0.7210317460317461,"ACF, correlation only",ACF+SVC,11
700,Petralia IRS,0.7397186147186147,"ACF, correlation only",ACF+RF,11
701,Petralia IRS,0.8111111111111111,"ACF, correlation only",ACF+Ridge,11
702,Petralia IRS,0.9112554112554112,"ACF, correlation only",ACF+SVC,11
703,Petralia IRS,0.9707792207792207,"ACF, correlation only",ACF+RF,11
704,Petralia IRS,0.8487554112554112,"ACF, correlation only",ACF+Ridge,11
705,Petralia IRS,0.7594696969696969,"ACF, correlation only",ACF+SVC,11
706,Petralia IRS,0.7583333333333333,"ACF, correlation only",ACF+RF,11
707,Petralia IRS,0.8988095238095237,"ACF, correlation only",ACF+Ridge,11
708,Petralia IRS,0.8624458874458875,"ACF, correlation only",ACF+SVC,11
709,Petralia IRS,0.8395833333333333,"ACF, correlation only",ACF+RF,11
710,Petralia IRS,0.7672619047619047,"ACF, correlation only",ACF+Ridge,11
711,Petralia IRS,0.8944444444444444,"ACF, correlation only",ACF+SVC,11
712,Petralia IRS,0.8604166666666666,"ACF, correlation only",ACF+RF,11
713,Petralia IRS,0.6461760461760462,"ACF, correlation only",ACF+Ridge,11
714,Petralia IRS,0.8,"ACF, correlation only",ACF+SVC,11
715,Petralia IRS,0.8291666666666666,"ACF, correlation only",ACF+RF,11
716,Petralia IRS,0.7553030303030303,"ACF, correlation only",ACF+Ridge,11
717,Petralia IRS,0.5431818181818182,"ACF, correlation only",ACF+SVC,11
718,Petralia IRS,0.7556818181818181,"ACF, correlation only",ACF+RF,11
719,Petralia IRS,0.7791666666666666,"ACF, correlation only",ACF+Ridge,11
720,Petralia IRS with Covariable,0.7440476190476191,"ACF, with covariable",ACF+SVC,12
721,Petralia IRS with Covariable,0.7458333333333333,"ACF, with covariable",ACF+RF,12
722,Petralia IRS with Covariable,0.6892857142857143,"ACF, with covariable",ACF+Ridge,12
723,Petralia IRS with Covariable,0.8041666666666667,"ACF, with covariable",ACF+SVC,12
724,Petralia IRS with Covariable,0.8291666666666666,"ACF, with covariable",ACF+RF,12
725,Petralia IRS with Covariable,0.9131944444444444,"ACF, with covariable",ACF+Ridge,12
726,Petralia IRS with Covariable,0.9154761904761904,"ACF, with covariable",ACF+SVC,12
727,Petralia IRS with Covariable,0.8488095238095238,"ACF, with covariable",ACF+RF,12
728,Petralia IRS with Covariable,0.95,"ACF, with covariable",ACF+Ridge,12
729,Petralia IRS with Covariable,0.821969696969697,"ACF, with covariable",ACF+SVC,12
730,Petralia IRS with Covariable,0.6884157509157509,"ACF, with covariable",ACF+RF,12
731,Petralia IRS with Covariable,0.8297077922077922,"ACF, with covariable",ACF+Ridge,12
732,Petralia IRS with Covariable,0.8628968253968254,"ACF, with covariable",ACF+SVC,12
733,Petralia IRS with Covariable,1.0,"ACF, with covariable",ACF+RF,12
734,Petralia IRS with Covariable,0.7694444444444444,"ACF, with covariable",ACF+Ridge,12
735,Petralia IRS with Covariable,0.8738095238095238,"ACF, with covariable",ACF+SVC,12
736,Petralia IRS with Covariable,0.7136363636363636,"ACF, with covariable",ACF+RF,12
737,Petralia IRS with Covariable,0.9154761904761906,"ACF, with covariable",ACF+Ridge,12
738,Petralia IRS with Covariable,0.7166125541125541,"ACF, with covariable",ACF+SVC,12
739,Petralia IRS with Covariable,0.7844696969696969,"ACF, with covariable",ACF+RF,12
740,Petralia IRS with Covariable,0.8708333333333333,"ACF, with covariable",ACF+Ridge,12
741,Petralia IRS with Covariable,0.8541666666666666,"ACF, with covariable",ACF+SVC,12
742,Petralia IRS with Covariable,0.7706349206349206,"ACF, with covariable",ACF+RF,12
743,Petralia IRS with Covariable,0.6907196969696969,"ACF, with covariable",ACF+Ridge,12
744,Petralia IRS with Covariable,0.8083333333333333,"ACF, with covariable",ACF+SVC,12
745,Petralia IRS with Covariable,0.7833333333333333,"ACF, with covariable",ACF+RF,12
746,Petralia IRS with Covariable,0.7303030303030302,"ACF, with covariable",ACF+Ridge,12
747,Petralia IRS with Covariable,0.6265151515151515,"ACF, with covariable",ACF+SVC,12
748,Petralia IRS with Covariable,0.7348484848484849,"ACF, with covariable",ACF+RF,12
749,Petralia IRS with Covariable,0.7791666666666666,"ACF, with covariable",ACF+Ridge,12
750,Petralia IRS,0.8166666666666667,"ACF, correlation only",ACF+SVC,12
751,Petralia IRS,0.7081349206349206,"ACF, correlation only",ACF+RF,12
752,Petralia IRS,0.7837301587301587,"ACF, correlation only",ACF+Ridge,12
753,Petralia IRS,0.8666666666666667,"ACF, correlation only",ACF+SVC,12
754,Petralia IRS,0.8285714285714285,"ACF, correlation only",ACF+RF,12
755,Petralia IRS,0.9154761904761904,"ACF, correlation only",ACF+Ridge,12
756,Petralia IRS,0.8488095238095238,"ACF, correlation only",ACF+SVC,12
757,Petralia IRS,0.8515873015873017,"ACF, correlation only",ACF+RF,12
758,Petralia IRS,0.7821428571428571,"ACF, correlation only",ACF+Ridge,12
759,Petralia IRS,0.7210317460317461,"ACF, correlation only",ACF+SVC,12
760,Petralia IRS,0.6842261904761904,"ACF, correlation only",ACF+RF,12
761,Petralia IRS,0.7166666666666667,"ACF, correlation only",ACF+Ridge,12
762,Petralia IRS,0.9112554112554112,"ACF, correlation only",ACF+SVC,12
763,Petralia IRS,0.9112554112554112,"ACF, correlation only",ACF+RF,12
764,Petralia IRS,0.7612554112554113,"ACF, correlation only",ACF+Ridge,12
765,Petralia IRS,0.821969696969697,"ACF, correlation only",ACF+SVC,12
766,Petralia IRS,0.621969696969697,"ACF, correlation only",ACF+RF,12
767,Petralia IRS,0.8988095238095237,"ACF, correlation only",ACF+Ridge,12
768,Petralia IRS,0.7957792207792207,"ACF, correlation only",ACF+SVC,12
769,Petralia IRS,0.711111111111111,"ACF, correlation only",ACF+RF,12
770,Petralia IRS,0.7672619047619047,"ACF, correlation only",ACF+Ridge,12
771,Petralia IRS,0.8944444444444444,"ACF, correlation only",ACF+SVC,12
772,Petralia IRS,0.8944444444444445,"ACF, correlation only",ACF+RF,12
773,Petralia IRS,0.6850649350649352,"ACF, correlation only",ACF+Ridge,12
774,Petralia IRS,0.7446428571428572,"ACF, correlation only",ACF+SVC,12
775,Petralia IRS,0.7303030303030302,"ACF, correlation only",ACF+RF,12
776,Petralia IRS,0.7303030303030302,"ACF, correlation only",ACF+Ridge,12
777,Petralia IRS,0.6,"ACF, correlation only",ACF+SVC,12
778,Petralia IRS,0.5431818181818182,"ACF, correlation only",ACF+RF,12
779,Petralia IRS,0.7791666666666666,"ACF, correlation only",ACF+Ridge,12
780,Petralia IRS with Covariable,0.7797619047619048,"ACF, with covariable",ACF+SVC,13
781,Petralia IRS with Covariable,0.8063492063492064,"ACF, with covariable",ACF+RF,13
782,Petralia IRS with Covariable,0.6654761904761904,"ACF, with covariable",ACF+Ridge,13
783,Petralia IRS with Covariable,0.8395833333333333,"ACF, with covariable",ACF+SVC,13
784,Petralia IRS with Covariable,0.859920634920635,"ACF, with covariable",ACF+RF,13
785,Petralia IRS with Covariable,0.9131944444444444,"ACF, with covariable",ACF+Ridge,13
786,Petralia IRS with Covariable,0.8130952380952381,"ACF, with covariable",ACF+SVC,13
787,Petralia IRS with Covariable,0.8488095238095238,"ACF, with covariable",ACF+RF,13
788,Petralia IRS with Covariable,0.95,"ACF, with covariable",ACF+Ridge,13
789,Petralia IRS with Covariable,0.746969696969697,"ACF, with covariable",ACF+SVC,13
790,Petralia IRS with Covariable,0.6259157509157509,"ACF, with covariable",ACF+RF,13
791,Petralia IRS with Covariable,0.7979166666666666,"ACF, with covariable",ACF+Ridge,13
792,Petralia IRS with Covariable,0.8798611111111111,"ACF, with covariable",ACF+SVC,13
793,Petralia IRS with Covariable,1.0,"ACF, with covariable",ACF+RF,13
794,Petralia IRS with Covariable,0.825,"ACF, with covariable",ACF+Ridge,13
795,Petralia IRS with Covariable,0.8738095238095238,"ACF, with covariable",ACF+SVC,13
796,Petralia IRS with Covariable,0.9112554112554112,"ACF, with covariable",ACF+RF,13
797,Petralia IRS with Covariable,0.9571428571428571,"ACF, with covariable",ACF+Ridge,13
798,Petralia IRS with Covariable,0.8369047619047619,"ACF, with covariable",ACF+SVC,13
799,Petralia IRS with Covariable,0.6861111111111111,"ACF, with covariable",ACF+RF,13
800,Petralia IRS with Covariable,0.8708333333333333,"ACF, with covariable",ACF+Ridge,13
801,Petralia IRS with Covariable,0.8541666666666666,"ACF, with covariable",ACF+SVC,13
802,Petralia IRS with Covariable,0.7006944444444445,"ACF, with covariable",ACF+RF,13
803,Petralia IRS with Covariable,0.6907196969696969,"ACF, with covariable",ACF+Ridge,13
804,Petralia IRS with Covariable,0.7339285714285715,"ACF, with covariable",ACF+SVC,13
805,Petralia IRS with Covariable,0.7749999999999999,"ACF, with covariable",ACF+RF,13
806,Petralia IRS with Covariable,0.7303030303030302,"ACF, with covariable",ACF+Ridge,13
807,Petralia IRS with Covariable,0.6833333333333333,"ACF, with covariable",ACF+SVC,13
808,Petralia IRS with Covariable,0.5875,"ACF, with covariable",ACF+RF,13
809,Petralia IRS with Covariable,0.7791666666666666,"ACF, with covariable",ACF+Ridge,13
810,Petralia IRS,0.8166666666666667,"ACF, correlation only",ACF+SVC,13
811,Petralia IRS,0.7833333333333333,"ACF, correlation only",ACF+RF,13
812,Petralia IRS,0.7837301587301587,"ACF, correlation only",ACF+Ridge,13
813,Petralia IRS,0.790909090909091,"ACF, correlation only",ACF+SVC,13
814,Petralia IRS,0.8145833333333333,"ACF, correlation only",ACF+RF,13
815,Petralia IRS,0.9154761904761904,"ACF, correlation only",ACF+Ridge,13
816,Petralia IRS,0.8488095238095238,"ACF, correlation only",ACF+SVC,13
817,Petralia IRS,0.8520833333333333,"ACF, correlation only",ACF+RF,13
818,Petralia IRS,0.95,"ACF, correlation only",ACF+Ridge,13
819,Petralia IRS,0.743452380952381,"ACF, correlation only",ACF+SVC,13
820,Petralia IRS,0.7397186147186147,"ACF, correlation only",ACF+RF,13
821,Petralia IRS,0.7166666666666667,"ACF, correlation only",ACF+Ridge,13
822,Petralia IRS,0.8207792207792208,"ACF, correlation only",ACF+SVC,13
823,Petralia IRS,0.8207792207792208,"ACF, correlation only",ACF+RF,13
824,Petralia IRS,0.802922077922078,"ACF, correlation only",ACF+Ridge,13
825,Petralia IRS,0.821969696969697,"ACF, correlation only",ACF+SVC,13
826,Petralia IRS,0.6577380952380952,"ACF, correlation only",ACF+RF,13
827,Petralia IRS,0.8988095238095237,"ACF, correlation only",ACF+Ridge,13
828,Petralia IRS,0.7957792207792207,"ACF, correlation only",ACF+SVC,13
829,Petralia IRS,0.790719696969697,"ACF, correlation only",ACF+RF,13
830,Petralia IRS,0.8214285714285714,"ACF, correlation only",ACF+Ridge,13
831,Petralia IRS,0.8944444444444444,"ACF, correlation only",ACF+SVC,13
832,Petralia IRS,0.79375,"ACF, correlation only",ACF+RF,13
833,Petralia IRS,0.6850649350649352,"ACF, correlation only",ACF+Ridge,13
834,Petralia IRS,0.8,"ACF, correlation only",ACF+SVC,13
835,Petralia IRS,0.7645833333333333,"ACF, correlation only",ACF+RF,13
836,Petralia IRS,0.7303030303030302,"ACF, correlation only",ACF+Ridge,13
837,Petralia IRS,0.5431818181818182,"ACF, correlation only",ACF+SVC,13
838,Petralia IRS,0.6208333333333333,"ACF, correlation only",ACF+RF,13
839,Petralia IRS,0.7227564102564102,"ACF, correlation only",ACF+Ridge,13
840,Petralia IRS with Covariable,0.7440476190476191,"ACF, with covariable",ACF+SVC,14
841,Petralia IRS with Covariable,0.8063492063492064,"ACF, with covariable",ACF+RF,14
842,Petralia IRS with Covariable,0.6654761904761904,"ACF, with covariable",ACF+Ridge,14
843,Petralia IRS with Covariable,0.9015873015873015,"ACF, with covariable",ACF+SVC,14
844,Petralia IRS with Covariable,0.7854166666666667,"ACF, with covariable",ACF+RF,14
845,Petralia IRS with Covariable,0.9131944444444444,"ACF, with covariable",ACF+Ridge,14
846,Petralia IRS with Covariable,0.8785714285714286,"ACF, with covariable",ACF+SVC,14
847,Petralia IRS with Covariable,0.8488095238095238,"ACF, with covariable",ACF+RF,14
848,Petralia IRS with Covariable,0.7821428571428571,"ACF, with covariable",ACF+Ridge,14
849,Petralia IRS with Covariable,0.6958333333333333,"ACF, with covariable",ACF+SVC,14
850,Petralia IRS with Covariable,0.6259157509157509,"ACF, with covariable",ACF+RF,14
851,Petralia IRS with Covariable,0.8297077922077922,"ACF, with covariable",ACF+Ridge,14
852,Petralia IRS with Covariable,0.9253968253968254,"ACF, with covariable",ACF+SVC,14
853,Petralia IRS with Covariable,0.8777777777777778,"ACF, with covariable",ACF+RF,14
854,Petralia IRS with Covariable,0.8777777777777778,"ACF, with covariable",ACF+Ridge,14
855,Petralia IRS with Covariable,0.8803030303030304,"ACF, with covariable",ACF+SVC,14
856,Petralia IRS with Covariable,0.7820887445887446,"ACF, with covariable",ACF+RF,14
857,Petralia IRS with Covariable,0.9154761904761906,"ACF, with covariable",ACF+Ridge,14
858,Petralia IRS with Covariable,0.759469696969697,"ACF, with covariable",ACF+SVC,14
859,Petralia IRS with Covariable,0.7958333333333334,"ACF, with covariable",ACF+RF,14
860,Petralia IRS with Covariable,0.8708333333333333,"ACF, with covariable",ACF+Ridge,14
861,Petralia IRS with Covariable,0.8541666666666666,"ACF, with covariable",ACF+SVC,14
862,Petralia IRS with Covariable,0.85,"ACF, with covariable",ACF+RF,14
863,Petralia IRS with Covariable,0.6886363636363637,"ACF, with covariable",ACF+Ridge,14
864,Petralia IRS with Covariable,0.8250000000000001,"ACF, with covariable",ACF+SVC,14
865,Petralia IRS with Covariable,0.6833333333333333,"ACF, with covariable",ACF+RF,14
866,Petralia IRS with Covariable,0.7303030303030302,"ACF, with covariable",ACF+Ridge,14
867,Petralia IRS with Covariable,0.6583333333333333,"ACF, with covariable",ACF+SVC,14
868,Petralia IRS with Covariable,0.6265151515151515,"ACF, with covariable",ACF+RF,14
869,Petralia IRS with Covariable,0.7617424242424242,"ACF, with covariable",ACF+Ridge,14
870,Petralia IRS,0.8166666666666667,"ACF, correlation only",ACF+SVC,14
871,Petralia IRS,0.7708333333333333,"ACF, correlation only",ACF+RF,14
872,Petralia IRS,0.7770833333333333,"ACF, correlation only",ACF+Ridge,14
873,Petralia IRS,0.8666666666666667,"ACF, correlation only",ACF+SVC,14
874,Petralia IRS,0.8215277777777777,"ACF, correlation only",ACF+RF,14
875,Petralia IRS,0.9083333333333333,"ACF, correlation only",ACF+Ridge,14
876,Petralia IRS,0.8488095238095238,"ACF, correlation only",ACF+SVC,14
877,Petralia IRS,0.9154761904761904,"ACF, correlation only",ACF+RF,14
878,Petralia IRS,0.7821428571428571,"ACF, correlation only",ACF+Ridge,14
879,Petralia IRS,0.7210317460317461,"ACF, correlation only",ACF+SVC,14
880,Petralia IRS,0.8402777777777777,"ACF, correlation only",ACF+RF,14
881,Petralia IRS,0.8083333333333332,"ACF, correlation only",ACF+Ridge,14
882,Petralia IRS,0.9041125541125541,"ACF, correlation only",ACF+SVC,14
883,Petralia IRS,1.0,"ACF, correlation only",ACF+RF,14
884,Petralia IRS,0.802922077922078,"ACF, correlation only",ACF+Ridge,14
885,Petralia IRS,0.821969696969697,"ACF, correlation only",ACF+SVC,14
886,Petralia IRS,0.5619047619047619,"ACF, correlation only",ACF+RF,14
887,Petralia IRS,0.9571428571428571,"ACF, correlation only",ACF+Ridge,14
888,Petralia IRS,0.7957792207792207,"ACF, correlation only",ACF+SVC,14
889,Petralia IRS,0.8058982683982684,"ACF, correlation only",ACF+RF,14
890,Petralia IRS,0.8214285714285714,"ACF, correlation only",ACF+Ridge,14
891,Petralia IRS,0.8604166666666666,"ACF, correlation only",ACF+SVC,14
892,Petralia IRS,0.8520833333333333,"ACF, correlation only",ACF+RF,14
893,Petralia IRS,0.6850649350649352,"ACF, correlation only",ACF+Ridge,14
894,Petralia IRS,0.7303030303030302,"ACF, correlation only",ACF+SVC,14
895,Petralia IRS,0.6505952380952381,"ACF, correlation only",ACF+RF,14
896,Petralia IRS,0.8303030303030303,"ACF, correlation only",ACF+Ridge,14
897,Petralia IRS,0.6458333333333333,"ACF, correlation only",ACF+SVC,14
898,Petralia IRS,0.5931818181818183,"ACF, correlation only",ACF+RF,14
899,Petralia IRS,0.7791666666666666,"ACF, correlation only",ACF+Ridge,14
900,Petralia IRS with Covariable,0.7440476190476191,"ACF, with covariable",ACF+SVC,15
901,Petralia IRS with Covariable,0.725,"ACF, with covariable",ACF+RF,15
902,Petralia IRS with Covariable,0.6892857142857143,"ACF, with covariable",ACF+Ridge,15
903,Petralia IRS with Covariable,0.8708333333333333,"ACF, with covariable",ACF+SVC,15
904,Petralia IRS with Covariable,0.79375,"ACF, with covariable",ACF+RF,15
905,Petralia IRS with Covariable,0.9444444444444444,"ACF, with covariable",ACF+Ridge,15
906,Petralia IRS with Covariable,0.9154761904761904,"ACF, with covariable",ACF+SVC,15
907,Petralia IRS with Covariable,0.8488095238095238,"ACF, with covariable",ACF+RF,15
908,Petralia IRS with Covariable,0.7821428571428571,"ACF, with covariable",ACF+Ridge,15
909,Petralia IRS with Covariable,0.7219696969696969,"ACF, with covariable",ACF+SVC,15
910,Petralia IRS with Covariable,0.7628205128205128,"ACF, with covariable",ACF+RF,15
911,Petralia IRS with Covariable,0.7979166666666666,"ACF, with covariable",ACF+Ridge,15
912,Petralia IRS with Covariable,0.9092261904761905,"ACF, with covariable",ACF+SVC,15
913,Petralia IRS with Covariable,1.0,"ACF, with covariable",ACF+RF,15
914,Petralia IRS with Covariable,0.7861111111111112,"ACF, with covariable",ACF+Ridge,15
915,Petralia IRS with Covariable,0.8738095238095238,"ACF, with covariable",ACF+SVC,15
916,Petralia IRS with Covariable,0.8601190476190476,"ACF, with covariable",ACF+RF,15
917,Petralia IRS with Covariable,0.9571428571428571,"ACF, with covariable",ACF+Ridge,15
918,Petralia IRS with Covariable,0.8297619047619048,"ACF, with covariable",ACF+SVC,15
919,Petralia IRS with Covariable,0.8277777777777778,"ACF, with covariable",ACF+RF,15
920,Petralia IRS with Covariable,0.8708333333333333,"ACF, with covariable",ACF+Ridge,15
921,Petralia IRS with Covariable,0.7964285714285715,"ACF, with covariable",ACF+SVC,15
922,Petralia IRS with Covariable,0.8589285714285715,"ACF, with covariable",ACF+RF,15
923,Petralia IRS with Covariable,0.8457792207792207,"ACF, with covariable",ACF+Ridge,15
924,Petralia IRS with Covariable,0.798611111111111,"ACF, with covariable",ACF+SVC,15
925,Petralia IRS with Covariable,0.7749999999999999,"ACF, with covariable",ACF+RF,15
926,Petralia IRS with Covariable,0.7261363636363636,"ACF, with covariable",ACF+Ridge,15
