,Class,Left-Out Correlation,Precision,Recall,F1 Score
0,PP,PP,0.2949248366013072,0.07058823529411773,0.22924369747899154
1,PP,PP,0.22900191570881223,0.07058823529411773,0.17383022774327106
2,PP,PP,0.30227777777777776,0.12941176470588234,0.24925170068027208
3,PP,PP,0.010611111111111127,0.01176470588235301,0.0022055137844612105
4,PP,PP,-0.0227222222222222,0.01176470588235301,-0.017709137709137734
5,PP,alpha,0.48283333333333334,0.01176470588235301,0.42444087747458525
6,PP,alpha,0.3058492063492063,0.07058823529411773,0.23904761904761895
7,PP,alpha,0.4180185185185185,0.01176470588235301,0.3446814218645204
8,PP,alpha,0.22273232323232323,-0.04705882352941171,0.13904761904761898
9,PP,alpha,0.010611111111111127,0.01176470588235301,0.0022055137844612105
10,PP,beta,0.19340681003584226,-0.04705882352941171,0.11404761904761895
11,PP,beta,0.10584920634920636,0.12941176470588234,0.10746867167919782
12,PP,beta,0.12555363984674328,-0.10588235294117643,0.043395445134575494
13,PP,beta,-0.15605555555555561,-0.04705882352941171,-0.11809523809523814
14,PP,beta,-0.07272222222222224,-0.04705882352941171,-0.07176319176319179
15,PP,delta,0.34394444444444444,0.12941176470588234,0.2862174303683737
16,PP,delta,0.06858212560386467,0.01176470588235301,0.039047619047619
17,PP,delta,0.20852777777777776,-0.04705882352941171,0.12680272108843527
18,PP,delta,-0.11219590643274857,-0.04705882352941171,-0.0942857142857143
19,PP,delta,0.04569883040935674,0.12941176470588234,0.07238095238095221
25,alpha,PP,-0.007962887077362257,0.02720751602869287,0.010241732103250412
26,alpha,PP,-0.001975300366883981,0.02720751602869287,0.013037838014286485
27,alpha,PP,-0.014023493137968357,0.07173871643496466,0.03199262675280956
28,alpha,PP,-0.0082763667011867,-0.02363994159842575,-0.016448926166355182
29,alpha,PP,-0.0027875380817885542,-0.0405890941407987,-0.022243236186017423
30,alpha,alpha,0.2931193640048888,0.4057385894750206,0.3573186778851605
31,alpha,alpha,0.08433716259973656,0.3322922617914047,0.233520106411373
32,alpha,alpha,0.1255113905829619,0.33016568272709956,0.2461790237580116
33,alpha,alpha,0.047514968400493185,0.26449565162191324,0.17451778597299517
34,alpha,alpha,0.0509115717970966,0.1402018663111787,0.09921542514754278
35,alpha,beta,-0.007312083741995212,0.11760299625468162,0.06133059946593111
36,alpha,beta,0.009928602670414843,0.03285723354281722,0.021631640983979294
37,alpha,beta,0.023013543899068734,0.07735669396305456,0.051659000765101104
38,alpha,beta,0.03143105231657706,0.00460864597219568,0.017464699815259443
39,alpha,beta,0.07108288984075506,-0.01799022408430151,0.026840306163972927
40,alpha,delta,-0.0014448767857671019,0.0667555386275629,0.03478225006482105
41,alpha,delta,-0.0023275867052198196,-0.001041071541928562,-0.0019583082274613473
42,alpha,delta,0.004048796018658152,0.03803085126642536,0.021631640983979294
43,alpha,delta,-0.008243146317159056,-0.01799022408430151,-0.013551083268512287
44,alpha,delta,-0.008373775623844115,-0.0405890941407987,-0.025044222897245283
50,beta,PP,-0.010167379486505923,0.17227323628219493,0.09374743070837277
51,beta,PP,-0.012811327782628057,-0.01720044792833142,-0.015609275933401778
52,beta,PP,-0.02368089300001941,0.02580067189249724,0.0020972005966040097
53,beta,PP,0.008234000617001858,-0.02739081746920491,-0.01043235023081912
